,business_code,cust_number,name_customer,clear_date,buisness_year,doc_id,posting_date,due_in_date,baseline_create_date,cust_payment_terms,converted_usd,Aging Bucket
0,CA02,0140105686,SYSC llc,2020-04-12 22:40:39.359375000,2020.0,2960623488.0,2020-03-30 00:00:00.000000000,2020-04-10 00:00:00.000000000,2020-03-31 00:00:00.000000000,CA10,3299.7,0-15
1,U001,0200744019,TARG us,2020-04-17 17:29:38.000000000,2020.0,1930659387.0,2020-03-19 00:00:00.000000000,2020-04-03 00:00:00.000000000,2020-03-19 00:00:00.000000000,NAA8,7821.114,0-15
2,U001,0200418007,AM ,2020-04-07 16:21:58.625000000,2020.0,1930610806.0,2020-03-11 00:00:00.000000000,2020-03-26 00:00:00.000000000,2020-03-11 00:00:00.000000000,NAA8,2467.913,0-15
3,U001,0200739534,OK systems,2020-05-04 15:31:44.343750000,2020.0,1930788296.0,2020-04-15 00:00:00.000000000,2020-04-30 00:00:00.000000000,2020-04-15 00:00:00.000000000,NAA8,84773.95499999999,0-15
4,U001,0200353024,DECA corporation,2020-05-14 17:26:39.750000000,2020.0,1930817482.0,2020-04-23 00:00:00.000000000,2020-04-26 00:00:00.000000000,2020-04-16 00:00:00.000000000,NAM2,2608.2419999999997,16-30
5,U001,0200744019,TARG associates,2020-04-23 05:26:40.750000000,2020.0,1930676042.0,2020-03-21 00:00:00.000000000,2020-04-05 00:00:00.000000000,2020-03-21 00:00:00.000000000,NAA8,4125.107,16-30
6,CA02,0140106408,WAL-M corp,2020-03-22 20:38:58.812500000,2020.0,2960618790.0,2020-03-06 00:00:00.000000000,2020-03-16 00:00:00.000000000,2020-03-06 00:00:00.000000000,CA10,92832.27,0-15
7,U001,0200337148,COAS llc,2020-04-02 12:02:02.500000000,2020.0,1930592246.0,2020-03-02 00:00:00.000000000,2020-03-17 00:00:00.000000000,2020-03-02 00:00:00.000000000,NAA8,7966.580999999999,16-30
8,U001,0200794332,COST associates,2020-05-09 00:25:53.000000000,2020.0,1930731070.0,2020-04-07 00:00:00.000000000,2020-04-22 00:00:00.000000000,2020-04-07 00:00:00.000000000,NAAX,2704.7509999999997,16-30
9,U001,0200794332,COST llc,2020-05-22 23:55:22.750000000,2020.0,1930803605.0,2020-04-23 00:00:00.000000000,2020-05-08 00:00:00.000000000,2020-04-23 00:00:00.000000000,NAAX,52117.106999999996,0-15
